
TVB无线新闻台,http://185.180.221.194:8278/Inews/playlist.m3u8?tid=56699937&ct=18205&tsum=6a2b767494bda26fa75d52fee20a26c2
TVBS新闻,P2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
TVBS新闻,vjms://58.215.133.185:8500:3502/live/cid=348
TVBS新闻,vjms://121.14.222.75:8500:3502/live/cid=348
TVBS新闻,vjms://23.237.33.155:8500:3502/live/cid=348
TVBS新闻,rtmp://59.124.75.137/sat/tv551
TVBS,vjms://58.215.133.185:8500:3502/live/cid=349
TVBS,vjms://121.14.222.75:8500:3502/live/cid=349
TVBS,vjms://23.237.33.155:8500:3502/live/cid=349
有线新闻台,http://testalicdn2.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
有线新闻台,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz
凤凰香港,http://220.158.149.14:9999/live/TV00000000000000000068@HHZT;LIVE
凤凰香港,mitv://198.255.74.87:9906/5dc08f2d000e208e01b83ce5cbcfd216.ts
凤凰香港,p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
凤凰卫视,p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts
凤凰卫视,vjms://23.237.33.155:8500:3502/live/cid=400
凤凰卫视,rtmp://58.200.131.2:1935/livetv/fhzw
凤凰卫视,http://liveali.ifeng.com/live/FHZW.flv
凤凰资讯,p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
凤凰资讯,vjms://23.237.33.155:8500:3502/live/cid=401
凤凰资讯,rtmp://58.200.131.2:1935/livetv/fhzx
凤凰资讯,http://liveali.ifeng.com/live/FHZX.flv
年代新闻,vjms://23.237.33.155:8500:3502/live/cid=455
年代新闻,mitv://198.255.74.87:9906/5dc08f27000164c901b822323153c62a.ts
年代新闻,p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts
年代新闻,vjms://58.215.133.185:8500:3502/live/cid=455
非凡新闻,P2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
非凡新闻,vjms://58.215.133.185:8500:3502/live/cid=443
非凡新闻,mitv://198.255.74.87:9906/5dc08f2700008beb01b821fba13d9e32.ts
非凡新闻,p8p://0198.02686.cc:16871/5d1a69d500091c6b11be5f7e1276fa82.ts
非凡新闻,vjms://23.237.33.155:8500:3502/live/cid=443
三立新闻,mitv://198.255.74.87:9906/5dc08f23000011a301b8123cd9eeb306.ts
三立新闻,vjms://58.215.133.185:8500:3502/live/cid=352
三立新闻,vjms://121.14.222.75:8500:3502/live/cid=352
三立新闻,vjms://23.237.33.155:8500:3502/live/cid=352
东森新闻,P2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
东森新闻,vjms://58.215.133.185:8500:3502/live/cid=340
东森新闻,vjms://121.14.222.75:8500:3502/live/cid=340
东森新闻,p8p://0198.02686.cc:16871/5d1a69c2000a678211be159b7e5802a8.ts
东森新闻,vjms://23.237.33.155:8500:3502/live/cid=340
中天新闻,mitv://198.255.74.87:9906/5dc08f1f0007d1ac01b804981dcfd1d9.ts
中天新闻,vjms://58.215.133.185:8500:3502/live/cid=407
中天新闻,p8p://0198.02686.cc:16871/5d1a69b000057f8711bdce095e527c76.ts
中天新闻,vjms://23.237.33.155:8500:3502/live/cid=407
中天新闻,rtmp://59.124.75.137/sat/tv521
中视新闻,mitv://198.255.74.87:9906/5dc08f2a0007ed3201b82f97c922337c.ts
壹新闻,mitv://198.255.74.87:9906/5dc08f23000639e201b813cf63badeb6.ts
壹新闻,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
壹新闻,vjms://23.237.33.155:8500:3502/live/cid=445
寰宇新闻,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
民视新闻,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
民视新闻,mitv://198.255.74.87:9906/5dc08f2a0005264801b82ee1ee01412a.ts
民视新闻,vjms://23.237.33.155:8500:3502/live/cid=454
东森财经,vjms://58.215.133.185:8500:3502/live/cid=456
东森财经,vjms://121.14.222.75:8500:3502/live/cid=456
东森财经,p8p://0198.02686.cc:16871/5d1a69c300063ae211be1871800a9ae8.ts
东森财经,vjms://23.237.33.155:8500:3502/live/cid=456
寰宇财经台,mitv://198.255.74.87:9906/5dc08f180004f9d101b7e885e19b7517.ts
寰宇财经台,p8p://0198.02686.cc:16871/5d1a69bb00034ddd11bdf8710f58e2f3.ts
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/playlist.m3u8
澳亚卫视,vjms://23.237.33.155:8500:3502/live/cid=337
香港开电视,mitv://198.255.74.87:9906/5dc08f31000ac63001b84ba99f178884.ts
香港开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
KHS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RTHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RTHK31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
CNBC,mitv://198.255.74.87:9906/5dc08efe000aa9d301b7846ac5b1b53c.ts
CNBC,vjms://58.215.133.185:8500:3502/live/cid=98
CNBC,vjms://121.14.222.75:8500:3502/live/cid=98
CNBC,p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts
CNBC,vjms://23.237.33.155:8500:3502/live/cid=98
CNN,mitv://198.255.74.87:9906/5dc08efe000b8c7e01b784a46c9cd95b.ts
CNN,vjms://121.14.222.75:8500:3502/live/cid=428
CNN,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
CNN,vjms://23.237.33.155:8500:3502/live/cid=428
BBC,mitv://198.255.74.87:9906/5dc08f01000ad05201b7902c343bc007.ts
BBC,vjms://58.215.133.185:8500:3502/live/cid=418
BBC,vjms://121.14.222.75:8500:3502/live/cid=418
BBC,vjms://23.237.33.155:8500:3502/live/cid=418
FOXNews,vjms://58.215.133.185:8500:3502/live/cid=97
FOXNews,p8p://0198.02686.cc:16871/5d1a697f0002f4fc11bd0dfb9dd398c6.ts
FOXNews,vjms://121.14.222.75:8500:3502/live/cid=97
反馈交流群,https://www.bbsok.cf/wp-content/uploads/2019/12/video_2019-12-23_13-03-01.mp4
HBO原创电影,vjms://58.215.133.185:8500:3502/live/cid=436
HBO原创电影,mitv://198.255.74.87:9906/5dc08f0d00043b0201b7bd5c9b45d94e.ts
HBO原创电影,vjms://23.237.33.155:8500:3502/live/cid=436
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181
HBO家庭,vjms://121.14.222.75:8500:3502/live/cid=181
HBO家庭,vjms://23.237.33.155:8500:3502/live/cid=181
HBO强档,vjms://58.215.133.185:8500:3502/live/cid=238
HBO强档,mitv://198.255.74.87:9906/5dc08f0d000512f301b7bd94cf14a0de.ts
HBO强档,vjms://23.237.33.155:8500:3502/live/cid=238
HBO,vjms://58.215.133.185:8500:3502/live/cid=261
HBO,mitv://198.255.74.87:9906/5dc08f1000069e8c01b7c9b1fc8f2c36.ts
HBO,vjms://23.237.33.155:8500:3502/live/cid=261
东森电影,P2p://190.2.146.92:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
东森电影,mitv://198.255.74.87:9906/5dc08f260007c9ef01b81fee3b2ada72.ts
东森电影,p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts
东森电影,vjms://23.237.33.155:8500:3502/live/cid=338
东森洋片台,mitv://198.255.74.87:9906/5dc08f260006fe2e01b81fb9af371dd5.ts
靖天电影台,mitv://198.255.74.87:9906/5dc08f1c0000812601b7f70010bb4246.ts
靖天电影台,p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts
龙华经典,mitv://198.255.74.87:9906/5dc08f230000f2cc01b8127555450c4d.ts
龙华经典,p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3
龙华洋片,mitv://198.255.74.87:9906/5dc08f2300048cfe01b81361fc3b1d55.ts
美亚电影台,P2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
美亚电影台,mitv://198.255.74.87:9906/5dc08f100008811601b7ca2c2608b02d.ts
卫视电影台,P2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts
纬来电影台,P2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts
